type,denom,timestamp,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-08 09:00:53,130159479.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,06145E7308CB73EB7A5890BEF68966BA59FD9342286D29B3755084E5E9FC8565
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-10 13:51:02,127307576.05551200,terra1n3gnprpx390g0cnnz07duphxvvy0v59m9md4qm,terra1v9ku44wycfnsucez6fp085f5fsksp47u9x8jr4,1EFF1B45CE272F11CE2EE34E8E7EE3FFAB946EE69278694A5EA5B497832AD055
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 06:56:35,126000000.00000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,82343A71A766794B573647AC28C97AACC79242CA88DDCC7C1A40AA47179BAE46
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-08 10:45:04,126000000.00000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,8F6E035B9CB7F6DB00E7B4D2F1D0AA512CD0ECDB0A781F402EA9AA625E3EED9B
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-08 04:35:40,126000000.00000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,AD25163E82D3B83038D3178BD24D9B0180A4BAE547DB01B6B05C6F69573F12A9
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 04:02:42,126000000.00000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,FF0473B0FC837EA0B728ACF51C3115D3A0E78949C603966AA24561C1D7631AD6
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 04:58:38,126000000.00000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,A555A9D82114566E6F4A74A290B3872D139DE976ED158DB1DD4DCCF082687634
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 04:05:09,125999982.31000000,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,23457AFD5FFDF1BE5DA0B866128F2AED61BF12E3DA87ADB4A88AEC0B7DBB582E
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 04:59:11,125999982.31000000,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,A2B5DB210317865F66F9C6BCEF2115860521CFC2299AC6F8DDDCA0392F3B78EE
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-08 04:37:03,125999982.31000000,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,AB6D772E05C21C630004610AA61C6D65786D53BFBC86FEC9554FBA4BA28E00DB
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-08 10:47:00,125999982.31000000,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,2198FC806A3ED02EC2E41589F0B34AB418419B2667735EB8CAC73F724411960E
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 06:59:06,125999982.31000000,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,930DA68CB6BCA603EC17D7928EA5EC02334224C8C2E52BE1269F78860E01ED30
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 07:39:00,115562457.36816700,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,C5315F40645FA1C2838C1D6C2B10A179C048E89DACF51AB0D14D99F5EE6F70A3
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-08 07:12:23,114182732.59379600,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,5E613FBC59C6E12C6BA53623B37B070B3D0EEE57CC8950E748CFC196366E09AA
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 05:34:02,112120480.00000000,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,terra1chq5ps8yya004gsw4xz62pd4psr5hafe7kdt6d,510579C62AD8F4F4B9126D66AB58B820D8732068CB1A5B65EC183A746FDD88E7
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-05 05:42:06,111111111.11111100,terra15lmkgqdfvhjfyu8k38y832sz5sfdgfg56a73sq,terra1kq5feza5a20nl6lllqlv3mhvukn2xyq8eejlwv,7284FF6E2DF0290088BA79D998EB3D8771E75973769A3E8953B79426CF403C82
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-11 08:29:01,108286694.13058000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,4311BD8C1E09B4C03F06B5F06BDC9AD48FF18C9B2510B23C520D3AB4C6A9ECA3
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 10:41:14,100000000.000000000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1p0vl4s4gp46vy6dm352s2fgtw6hccypph7zc3u,26A5DCC55E190206871EB6BA52FACD7217F3D135EA017DB52366E926A2150E4A
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-09 15:40:47,100000000.000000000000,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,terra14an09u284xacxnt3pwg7p0re5dd4amvkunuxh3,CB6DBB531F935CA184D9562AA427E62C597DD51255F4E6CFE8355B5FA6322193
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 02:21:42,100000000.000000000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1hhj92twle9x8rjkr3yffujexsy5ldexak5rglz,BA998B272778B02F4A849D545CADAB85DB85DE76EC249E6F2A05EB953648DE03
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-09 15:43:15,99999999.960000000000,terra14an09u284xacxnt3pwg7p0re5dd4amvkunuxh3,terra1nm0rrq86ucezaf8uj35pq9fpwr5r82clp5z7r5,1F360FC6173F785759138051324B45AD4B98D335C678EEC105D4FC23E97DD9AC
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 14:27:31,99999991.030000000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,B1DBE06B7668F05D715A378EF851B209D328DA4E412DD5C22B05F4537EA16C64
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-08 05:39:06,98996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,674C69F15AE8474E7CFE48680A6F37BEBAE066906CB6CE86740A971BC3B83899
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-08 04:31:56,98996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,9A251975D221CF3E66F3C4D250F235CFD35DE0230488137A42CF35F8AC4795CC
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 05:37:21,98996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,90BE328ED33609C38D0C1EC976667A11FAA1CE37742386C0B3D6CDBF3F82787C
