type,timestamp,denom,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,2022-05-09 21:32:55,usd,10632095.000000000000,terra1nm0rrq86ucezaf8uj35pq9fpwr5r82clp5z7r5,terra19ytarrrvpenpvtf5t0xjx6nv4ah89t6xcnrsvx,884C11A4C3959D8748B948E1B1177E3B596C0777C635612D9F9B311C030890F9
/cosmos.bank.v1beta1.MsgSend,2022-05-09 21:28:42,usd,10631237.000000000000,terra1nm0rrq86ucezaf8uj35pq9fpwr5r82clp5z7r5,terra19ytarrrvpenpvtf5t0xjx6nv4ah89t6xcnrsvx,77B00E7816CDE984D0CD1FAEB9B09344290E646C93581A1864254E7B73AFF76E
/cosmos.bank.v1beta1.MsgSend,2022-05-08 16:58:55,usd,10434871.227997000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,6D048023F88AB7DDA2AF1535E57880EA4F8C102DFFE299E4E4651C9FB28AE629
/cosmos.bank.v1beta1.MsgSend,2022-05-11 12:29:01,usd,10434537.641519000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,EFA97C3327FF2ACDC9589FCBBD73F73EBAB4CF43F85A458253045D2E38563A59
/cosmos.bank.v1beta1.MsgSend,2022-05-02 08:20:15,usd,10430663.659347000000,terra14l46jrdgdhaw4cejukx50ndp0hss95ekt2kfmw,terra1rvxcszyfecrt2v3a7md8p30hvu39kj6xf48w9e,ACBC67E14ED49E622AD629F0804D64F9311EE94FD378955AB1E0D169DC3DFE59
/cosmos.bank.v1beta1.MsgSend,2022-05-09 07:08:53,usd,10420778.585194000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,9B5F6A63A3B7649B8D61561E5D04CE15C04280EE649F9BB86CC2C25B03C72E77
/cosmos.bank.v1beta1.MsgSend,2022-05-07 17:29:43,usd,10413560.000000000000,terra1p3mcl2e4882hztuura0jlmw8nyzaafpcqlnvve,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,66B4F88F6F684711241B489F50E8803BF781591E995760F7302CEEDB5A25E30B
/cosmos.bank.v1beta1.MsgSend,2022-05-08 01:32:57,usd,10400000.000000000000,terra1ytfrtc83rstr5qyhauyqstas95726ylk8tzfac,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,F4A99D1F51ACC665C83EAAB8B7EAFE1C28192E499A94F701F3BB189B6033972C
/cosmos.bank.v1beta1.MsgSend,2022-05-11 07:36:25,usd,10325342.890000000000,terra1vvdnjzfku5yy8swlzs5nzj9exekv5d3fddaqp0,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,281444BC6E166459959ECCBE09BB23AC48428B9A927DE0D268AC868ED2304878
/cosmos.bank.v1beta1.MsgSend,2022-05-11 02:39:00,usd,10316701.000000000000,terra1ead9mwsw4efs64z4vz4sq2vp28q4wdsp3swpk4,terra1g6llg3zed35nd3mh9zx6n64tfw3z67w2c48tn2,7A08DA3FD5D1FD4AFF984814450CFB8A9FB1CE33ADE26C6A7EF9F1F91C02FC51
/cosmos.bank.v1beta1.MsgSend,2022-05-10 06:29:57,usd,10269208.000000000000,terra18g0hqgedp9ssgfk67c3nr08d5pt574x2spreaq,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,8940285B0E085B759601F5717FCC7CAEF9344E8E6E558BAA00ACAB0001402174
/cosmos.bank.v1beta1.MsgSend,2022-05-11 17:58:56,usd,10240897.706304000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,F2B427348967C62ABDF4C238748DCE203D95D6A234773F495E8CE0C75608D1B4
/cosmos.bank.v1beta1.MsgSend,2022-05-11 09:13:25,usd,10170490.718037000000,terra1kflxnk2qpm6n9wv8xdx25kwmjhuzxemgy6arpv,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,F5D7A38482908F60A8993A26AADBE87DB7DCB93F2250B8E71E76173486B99714
